game_id;seed;who_Green;who_Blue;who_won;moves_made;time
0;123;UCT+h;PUCT+h;UCT+h;61.5;243.13341689109802
1;245;UCT+h;PUCT+h;UCT+h;61.5;243.51120018959045
2;456;PUCT+h;UCT+h;PUCT+h;92.5;365.20588302612305
3;786;PUCT+h;UCT+h;UCT+h;94.0;370.7272460460663
4;999;UCT+h;PUCT+h;UCT+h;60.5;239.02062821388245
5;567;UCT+h;PUCT+h;UCT+h;72.5;285.5333411693573
6;582;UCT+h;PUCT+h;UCT+h;56.5;223.1665940284729
7;11;PUCT+h;UCT+h;UCT+h;68.0;268.699471950531
8;765;UCT+h;PUCT+h;UCT+h;73.5;290.7077968120575
9;66;UCT+h;PUCT+h;UCT+h;51.5;203.67532992362976
